batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,cublas,0,0,5030,2868.7054,361479.0466,470.5473,1349861.7103,0.0013
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,wmma_simple,0,1,694,2988.547,47874.0843,511.0237,1527218.3358,0.0107
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,wmma_simple,16,1,700,2995.0245,48183.5457,513.4317,1537740.6473,0.0107
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,wmma_simple,32768,1,701,2999.9176,48173.6768,516.8054,1550373.6261,0.0107
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,wmma_simple,131072,1,701,3000.3189,48167.2324,519.6824,1559212.9453,0.0108
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,cublas,0,0,2810,3117.5715,371638.7459,588.9023,1835945.0911,0.0016
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,wmma_simple,0,1,336,2995.4972,46248.9052,520.5947,1559440.0307,0.0113
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,wmma_simple,16,1,338,2993.5881,46553.8653,518.0658,1550875.5363,0.0111
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,wmma_simple,32768,1,338,2994.7779,46535.371,519.5362,1555895.5534,0.0112
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,wmma_simple,131072,1,338,2993.7269,46551.7079,523.0317,1565813.9135,0.0112
"tensor([[ 0.6689, -0.6777, -1.2334,  ...,  1.5205,  0.1776, -1.1230],
        [ 0.7173,  0.9399,  0.7280,  ..., -0.1863,  0.9038, -0.1667],
        [ 0.6943,  0.7124, -0.4553,  ..., -0.0903, -2.2539, -0.3918],
        ...,
        [ 0.1613,  0.4456,  0.1787,  ...,  0.8145, -0.3198, -0.0682],
        [-1.0879,  0.6797, -1.1260,  ..., -0.6084,  0.3967,  0.7305],
        [ 0.5620, -0.2227,  0.1588,  ...,  0.8374, -1.3770,  0.8628]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2796,3111.5631,370501.226,589.1981,1833327.2162,0.0016
"tensor([[ 0.6689, -0.6777, -1.2334,  ...,  1.5205,  0.1776, -1.1230],
        [ 0.7173,  0.9399,  0.7280,  ..., -0.1863,  0.9038, -0.1667],
        [ 0.6943,  0.7124, -0.4553,  ..., -0.0903, -2.2539, -0.3918],
        ...,
        [ 0.1613,  0.4456,  0.1787,  ...,  0.8145, -0.3198, -0.0682],
        [-1.0879,  0.6797, -1.1260,  ..., -0.6084,  0.3967,  0.7305],
        [ 0.5620, -0.2227,  0.1588,  ...,  0.8374, -1.3770,  0.8628]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,0,1,336,2995.2505,46252.7148,530.6366,1589389.6524,0.0115
"tensor([[ 0.6689, -0.6777, -1.2334,  ...,  1.5205,  0.1776, -1.1230],
        [ 0.7173,  0.9399,  0.7280,  ..., -0.1863,  0.9038, -0.1667],
        [ 0.6943,  0.7124, -0.4553,  ..., -0.0903, -2.2539, -0.3918],
        ...,
        [ 0.1613,  0.4456,  0.1787,  ...,  0.8145, -0.3198, -0.0682],
        [-1.0879,  0.6797, -1.1260,  ..., -0.6084,  0.3967,  0.7305],
        [ 0.5620, -0.2227,  0.1588,  ...,  0.8374, -1.3770,  0.8628]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,16,1,338,2995.3631,46526.2782,528.9252,1584323.0816,0.0114
"tensor([[ 0.6689, -0.6777, -1.2334,  ...,  1.5205,  0.1776, -1.1230],
        [ 0.7173,  0.9399,  0.7280,  ..., -0.1863,  0.9038, -0.1667],
        [ 0.6943,  0.7124, -0.4553,  ..., -0.0903, -2.2539, -0.3918],
        ...,
        [ 0.1613,  0.4456,  0.1787,  ...,  0.8145, -0.3198, -0.0682],
        [-1.0879,  0.6797, -1.1260,  ..., -0.6084,  0.3967,  0.7305],
        [ 0.5620, -0.2227,  0.1588,  ...,  0.8374, -1.3770,  0.8628]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,32768,1,338,2994.7314,46536.0932,530.2068,1587826.9907,0.0114
"tensor([[ 0.6689, -0.6777, -1.2334,  ...,  1.5205,  0.1776, -1.1230],
        [ 0.7173,  0.9399,  0.7280,  ..., -0.1863,  0.9038, -0.1667],
        [ 0.6943,  0.7124, -0.4553,  ..., -0.0903, -2.2539, -0.3918],
        ...,
        [ 0.1613,  0.4456,  0.1787,  ...,  0.8145, -0.3198, -0.0682],
        [-1.0879,  0.6797, -1.1260,  ..., -0.6084,  0.3967,  0.7305],
        [ 0.5620, -0.2227,  0.1588,  ...,  0.8374, -1.3770,  0.8628]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,131072,1,338,2995.5242,46523.7773,530.2337,1588327.8432,0.0114
"tensor([[ 0.7183, -1.3965,  1.4141,  ...,  1.2246, -0.4006,  2.4551],
        [-0.7148, -0.2424, -0.1440,  ..., -0.7363, -0.3406,  0.6450],
        [ 0.0112,  0.3806, -1.4316,  ..., -0.0413, -1.8945,  1.1064],
        ...,
        [-1.2188, -0.2438, -2.1523,  ..., -0.7256,  1.3789,  2.1719],
        [ 0.1146, -0.5366,  1.3574,  ..., -0.8540, -1.5186, -0.0039],
        [-0.3977,  0.3220,  1.6533,  ..., -0.1938,  0.2030,  0.3838]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2910,3212.2003,373526.5361,592.3479,1902740.1609,0.0016
"tensor([[ 0.7183, -1.3965,  1.4141,  ...,  1.2246, -0.4006,  2.4551],
        [-0.7148, -0.2424, -0.1440,  ..., -0.7363, -0.3406,  0.6450],
        [ 0.0112,  0.3806, -1.4316,  ..., -0.0413, -1.8945,  1.1064],
        ...,
        [-1.2188, -0.2438, -2.1523,  ..., -0.7256,  1.3789,  2.1719],
        [ 0.1146, -0.5366,  1.3574,  ..., -0.8540, -1.5186, -0.0039],
        [-0.3977,  0.3220,  1.6533,  ..., -0.1938,  0.2030,  0.3838]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,0,1,293,2994.4251,40344.5858,513.643,1538065.5272,0.0127
"tensor([[ 0.7183, -1.3965,  1.4141,  ...,  1.2246, -0.4006,  2.4551],
        [-0.7148, -0.2424, -0.1440,  ..., -0.7363, -0.3406,  0.6450],
        [ 0.0112,  0.3806, -1.4316,  ..., -0.0413, -1.8945,  1.1064],
        ...,
        [-1.2188, -0.2438, -2.1523,  ..., -0.7256,  1.3789,  2.1719],
        [ 0.1146, -0.5366,  1.3574,  ..., -0.8540, -1.5186, -0.0039],
        [-0.3977,  0.3220,  1.6533,  ..., -0.1938,  0.2030,  0.3838]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,16,1,294,2998.1755,40431.6412,510.7044,1531181.3295,0.0126
"tensor([[ 0.7183, -1.3965,  1.4141,  ...,  1.2246, -0.4006,  2.4551],
        [-0.7148, -0.2424, -0.1440,  ..., -0.7363, -0.3406,  0.6450],
        [ 0.0112,  0.3806, -1.4316,  ..., -0.0413, -1.8945,  1.1064],
        ...,
        [-1.2188, -0.2438, -2.1523,  ..., -0.7256,  1.3789,  2.1719],
        [ 0.1146, -0.5366,  1.3574,  ..., -0.8540, -1.5186, -0.0039],
        [-0.3977,  0.3220,  1.6533,  ..., -0.1938,  0.2030,  0.3838]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,32768,1,294,2997.5356,40440.2731,510.7603,1531022.1222,0.0126
"tensor([[ 0.7183, -1.3965,  1.4141,  ...,  1.2246, -0.4006,  2.4551],
        [-0.7148, -0.2424, -0.1440,  ..., -0.7363, -0.3406,  0.6450],
        [ 0.0112,  0.3806, -1.4316,  ..., -0.0413, -1.8945,  1.1064],
        ...,
        [-1.2188, -0.2438, -2.1523,  ..., -0.7256,  1.3789,  2.1719],
        [ 0.1146, -0.5366,  1.3574,  ..., -0.8540, -1.5186, -0.0039],
        [-0.3977,  0.3220,  1.6533,  ..., -0.1938,  0.2030,  0.3838]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,131072,1,294,2997.9938,40434.0921,511.5532,1533633.2082,0.0127
"tensor([[-0.7974, -0.5220,  0.1289,  ..., -1.3955, -0.3665,  0.9009],
        [-0.4185,  0.3240,  0.1465,  ..., -1.0020, -0.4587,  1.8916],
        [ 0.6719, -0.7876,  1.0879,  ...,  0.3215,  1.6211,  0.9214],
        ...,
        [ 1.8174, -0.4734, -0.6543,  ..., -0.7285, -0.8599, -2.2168],
        [-0.1787, -0.3699,  0.8530,  ..., -1.0645,  0.6299,  1.7168],
        [ 0.3235,  0.4551, -0.5400,  ..., -0.1320,  0.8530, -0.7969]],
       device='cuda:0', dtype=torch.float16)",4096,lm_head,1,4096,4096,151936,cublas,0,0,226,3001.6392,383849.1036,599.3823,1799129.5451,0.0016
"tensor([[-0.7974, -0.5220,  0.1289,  ..., -1.3955, -0.3665,  0.9009],
        [-0.4185,  0.3240,  0.1465,  ..., -1.0020, -0.4587,  1.8916],
        [ 0.6719, -0.7876,  1.0879,  ...,  0.3215,  1.6211,  0.9214],
        ...,
        [ 1.8174, -0.4734, -0.6543,  ..., -0.7285, -0.8599, -2.2168],
        [-0.1787, -0.3699,  0.8530,  ..., -1.0645,  0.6299,  1.7168],
        [ 0.3235,  0.4551, -0.5400,  ..., -0.1320,  0.8530, -0.7969]],
       device='cuda:0', dtype=torch.float16)",4096,lm_head,1,4096,4096,151936,wmma_simple,0,1,20,10856.6324,9391.7267,320.4282,3478771.2407,0.0341
"tensor([[-0.7974, -0.5220,  0.1289,  ..., -1.3955, -0.3665,  0.9009],
        [-0.4185,  0.3240,  0.1465,  ..., -1.0020, -0.4587,  1.8916],
        [ 0.6719, -0.7876,  1.0879,  ...,  0.3215,  1.6211,  0.9214],
        ...,
        [ 1.8174, -0.4734, -0.6543,  ..., -0.7285, -0.8599, -2.2168],
        [-0.1787, -0.3699,  0.8530,  ..., -1.0645,  0.6299,  1.7168],
        [ 0.3235,  0.4551, -0.5400,  ..., -0.1320,  0.8530, -0.7969]],
       device='cuda:0', dtype=torch.float16)",4096,lm_head,1,4096,4096,151936,wmma_simple,16,1,20,10849.3356,9398.0431,317.3695,3443247.8502,0.0338
"tensor([[-0.7974, -0.5220,  0.1289,  ..., -1.3955, -0.3665,  0.9009],
        [-0.4185,  0.3240,  0.1465,  ..., -1.0020, -0.4587,  1.8916],
        [ 0.6719, -0.7876,  1.0879,  ...,  0.3215,  1.6211,  0.9214],
        ...,
        [ 1.8174, -0.4734, -0.6543,  ..., -0.7285, -0.8599, -2.2168],
        [-0.1787, -0.3699,  0.8530,  ..., -1.0645,  0.6299,  1.7168],
        [ 0.3235,  0.4551, -0.5400,  ..., -0.1320,  0.8530, -0.7969]],
       device='cuda:0', dtype=torch.float16)",4096,lm_head,1,4096,4096,151936,wmma_simple,32768,1,20,10842.5219,9403.9491,316.292,3429402.4875,0.0336
"tensor([[-0.7974, -0.5220,  0.1289,  ..., -1.3955, -0.3665,  0.9009],
        [-0.4185,  0.3240,  0.1465,  ..., -1.0020, -0.4587,  1.8916],
        [ 0.6719, -0.7876,  1.0879,  ...,  0.3215,  1.6211,  0.9214],
        ...,
        [ 1.8174, -0.4734, -0.6543,  ..., -0.7285, -0.8599, -2.2168],
        [-0.1787, -0.3699,  0.8530,  ..., -1.0645,  0.6299,  1.7168],
        [ 0.3235,  0.4551, -0.5400,  ..., -0.1320,  0.8530, -0.7969]],
       device='cuda:0', dtype=torch.float16)",4096,lm_head,1,4096,4096,151936,wmma_simple,131072,1,20,10844.9897,9401.8091,316.2692,3429936.4324,0.0336
